Hour,Demand,Reserves
1150,20932,1566
1151,19846,1967
1152,18809,1371
1153,18014,1030
1154,17656,1591
1155,17452,1215
1156,17441,1313
1157,17825,1304
1158,19042,1442
1159,20943,1276
1160,21766,1219
1161,21600,1204
1162,20900,1585
1163,19920,1530
1164,18976,1406
1165,18364,1744
1166,18083,1603
1167,17772,919
1168,17655,1453
1169,17848,1691
1170,18567,1687
1171,20102,1807
1172,20547,1385
1173,20345,1160
1174,19649,1015
1175,18589,1136
1176,17786,1605
1177,17227,985
1178,17131,1097
1179,17320,1516
1180,17640,1079
1181,18529,1221
1182,20273,1233
1183,22944,1355
1184,24014,2392
1185,23610,2289
1186,23098,1992
1187,22787,1692
1188,22520,1999
1189,22407,2101
1190,22358,1618
1191,22341,2062
1192,22564,2022
1193,23225,2215
1194,24151,1902
1195,25073,2274
1196,25029,1259
1197,24659,1837
1198,23951,1335
1199,22462,1287
1200,21390,1071
1201,20760,1657
1202,20527,1773
1203,20481,1778
1204,20685,1717
1205,21264,1075
1206,22632,1471
1207,24849,2369
1208,25759,1953
1209,25658,2230
1210,25562,2137
1211,25405,1941
1212,25107,1437
1213,24685,1607
1214,24317,1233
1215,24006,1952
1216,23863,2365
1217,24124,2377
1218,24605,2057
1219,25398,2128
1220,25250,2116
1221,24670,2455
1222,23509,2216
1223,22069,1667
1224,20716,1586
1225,19846,1818
1226,19421,1911
1227,19147,1207
1228,19121,1912
1229,19481,1540
1230,20629,1045
1231,22699,2173
1232,23301,2294
1233,22876,1676
1234,22394,1577
1235,21715,1826
1236,20800,1617
1237,19786,1034
1238,19017,1535
1239,18331,1786
1240,17937,1562
1241,17954,1433
1242,18397,1119
1243,19551,1816
1244,19720,1651
1245,19300,1357
1246,18398,1618
1247,17162,1039
1248,15939,828
1249,15086,1408
1250,14639,1124
1251,14515,1378
1252,14601,966
1253,15147,801
1254,16465,1551
1255,18640,1029
1256,19642,1717
1257,19853,1288
1258,20052,1028
1259,20205,1880
1260,20137,1974
1261,20001,1899
1262,19981,1270
1263,19895,1152
1264,19874,1635
1265,20185,1466
1266,20572,1097
1267,21227,1431
1268,21041,1544
1269,20614,1073
1270,20101,1096
1271,19119,1194
1272,18263,1520
1273,17503,1507
1274,17134,1282
1275,17043,1410
1276,17040,1578
1277,17264,1209
1278,17820,1081
1279,18710,1480
1280,19621,1124
1281,20595,1468
1282,21382,1907
1283,21749,1759
1284,21700,1139
1285,21454,1187
1286,21118,1435
1287,20814,1479
1288,20650,1835
1289,20660,1715
1290,20867,1078
1291,21449,1404
1292,21239,1723
1293,20787,1767
1294,20121,1158
1295,19204,1565
1296,18277,1428
1297,17444,999
1298,16974,1341
1299,16737,1248
1300,16642,1059
1301,16711,1412
1302,17064,1130
1303,17689,1097
1304,18380,1166
1305,19146,1908
1306,19280,1266
1307,18757,1793
1308,17932,1186
1309,17150,1508
1310,16279,1462
1311,15592,1125
1312,15349,1161
1313,15551,1293
1314,16173,1274
1315,17821,934
1316,18474,953
1317,18466,931
1318,18025,1058
1319,17278,1697
1320,16595,1077
1321,16269,1339
1322,16285,1178
1323,16527,1084
1324,17034,1472
1325,18047,1384
1326,19974,1487
1327,22697,1193
1328,23464,1743
1329,22215,1994
1330,20948,1310
1331,19982,1578
1332,19151,1135
1333,18461,1805
1334,17993,1241
1335,17470,1331
1336,17233,1708
1337,17414,1145
1338,18144,1162
1339,19957,1324
1340,20896,1118
1341,20976,1630
1342,20533,1694
1343,19690,1880
1344,18942,1404
1345,18607,1231
1346,18657,1490
1347,18870,1218
1348,19236,1371
1349,20029,1754
1350,21574,1554
1351,24107,2355
1352,24755,1653
1353,23358,1177
1354,21312,2101
1355,19716,1112
1356,18673,1744
1357,17876,1741
1358,17485,1550
1359,17146,900
1360,16892,976
1361,17066,1620
1362,17654,1659
1363,19130,1458
1364,19772,1598
1365,19608,1364
1366,18871,1540
1367,17847,1251
1368,16855,1239
1369,16193,1330
1370,15878,945
1371,15764,1218
1372,15832,1102
1373,16266,1022
1374,17590,1727
1375,19863,1050
1376,20460,1940
1377,20147,1588
1378,19774,1109
1379,19427,1371
1380,18981,1857
1381,18697,1599
1382,18540,1487
1383,18357,1368
1384,18212,1728
1385,18201,1145
1386,18593,1074
1387,19742,1905
1388,20181,1885
1389,19835,1063
1390,18995,1492
1391,17846,1414
1392,16701,865
1393,16032,1469
1394,15751,1000
1395,15729,1396
1396,15851,880
1397,16300,1296
1398,17675,1500
1399,19849,1664
1400,20453,1475
1401,19923,1912
1402,19157,1486
1403,18507,1529
1404,17999,1780
1405,17611,1591
1406,17483,1217
1407,17314,1512
1408,17277,1699
1409,17490,1556
1410,17950,1419
1411,19010,1531
1412,19281,975
1413,18990,1414
1414,18228,1789
1415,17076,1514
1416,15885,1029
1417,15175,1391
1418,14784,1010
1419,14666,1061
1420,14764,1018
1421,15207,790
1422,16491,1076
1423,18670,1810
