UNIT,UNIT_NAME,CC_KEY,UNIT_ID,PORTFOLIO_NAME,UNIT_TYPE,ColdStart_Hours,ColdStartU_HeatRate,ColdStartU_FixedCost,WarmStart_Hours,WarmStartU_HeatRate,WarmStartU_FixedCost,HotStart_Hours,HotStartU_HeatRate,HotStartU_FixedCost,ShutdownCost,NoLoadHR,MinPowerOut,MaxPowerOut,IHRC_B1_Q,IHRC_B1_HR,IHRC_B2_Q,IHRC_B2_HR,IHRC_B3_Q,IHRC_B3_HR,IHRC_B4_Q,IHRC_B4_HR,IHRC_B5_Q,IHRC_B5_HR,IHRC_B6_Q,IHRC_B6_HR,IHRC_B7_Q,IHRC_B7_HR,SpinningRes_Limit,RegDownRes_Limit,RegUpRes_Limit,NonSpinningRes_Limit,BalancingRes_Limit,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,MinUpTime,MinDownTime,UpTimeInit,DownTimeInit,FastStart,Nuclear,NaturalGasFired,PowerInit,StatusInit
48,LINC_CT03,0,LINC_CT03_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,99,99,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,99,0,99,99,99,99,1,1,0,500,1,0,1,0,0
49,LINC_CT04,0,LINC_CT04_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
50,LINC_CT05,0,LINC_CT05_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,97,97,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,97,0,97,97,97,97,1,1,0,500,1,0,1,0,0
51,LINC_CT06,0,LINC_CT06_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,97,97,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,97,0,97,97,97,97,1,1,0,500,1,0,1,0,0
52,LINC_CT07,0,LINC_CT07_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
53,LINC_CT08,0,LINC_CT08_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
54,LINC_CT09,0,LINC_CT09_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,97,97,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,97,0,97,97,97,97,1,1,0,500,1,0,1,0,0
55,LINC_CT10,0,LINC_CT10_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
56,LINC_CT11,0,LINC_CT11_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
57,LINC_CT12,0,LINC_CT12_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
58,LINC_CT13,0,LINC_CT13_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
59,LINC_CT14,0,LINC_CT14_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,97,97,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,97,0,97,97,97,97,1,1,0,500,1,0,1,0,0
60,LINC_CT15,0,LINC_CT15_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
61,LINC_CT16,0,LINC_CT16_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,97,97,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,97,0,97,97,97,97,1,1,0,500,1,0,1,0,0
62,LINCOLN_CT17,0,LINC_CT17_0,DEC,Peaker,72,14,2278,32,14,2278,8,14,2278,0,186.891,98,98,46,9.983,47,12.39605,0,14.5171,0,14.5171,0,14.5171,0,14.5171,19,16.31885,0,0,0,98,0,98,98,98,98,1,1,0,500,1,0,1,0,0
63,MARD_UN01,0,MARD_UN01_0,DEC,Steam,144,3219,0,76,2789,0,8,1854,0,82000,298.9801621,140,380,70,8.3061,70,8.35015,60,8.4732,60,8.71155,60,9.1095,60,9.7088,76,10.7059,90,15,15,0,90,90,140,90,140,36,12,0,500,0,0,0,0,0
64,MARD_UN02,0,MARD_UN02_0,DEC,Steam,144,3219,0,76,2789,0,8,1854,0,82000,292.8715961,140,380,70,8.44055,70,8.48475,60,8.6081,60,8.84705,60,9.246,60,9.8468,76,10.84635,90,15,15,0,90,90,140,90,140,36,12,0,500,0,0,0,0,0
65,MARD_UN03,0,MARD_UN03_0,DEC,Steam,144,8026,0,76,7229,0,8,5140,0,127000,466.2483,270,658,135,8.39145,135,8.41685,97,8.4775,97,8.581,97,8.745,97,8.9837,132,9.3921,300,50,50,0,300,300,300,300,300,72,24,0,500,0,0,0,0,0
