BEGIN_DATE,PORTFOLIO_NAME,MW
1/18/2019 12:00:00 PM,PEC,8114
1/18/2019 1:00:00 AM,DEC,12864
1/18/2019 1:00:00 AM,PEC,7790
1/18/2019 1:00:00 PM,DEC,12679
1/18/2019 1:00:00 PM,PEC,8186
1/18/2019 2:00:00 AM,DEC,12583
1/18/2019 2:00:00 AM,PEC,7520
1/18/2019 2:00:00 PM,DEC,12477
1/18/2019 2:00:00 PM,PEC,8379
1/18/2019 3:00:00 AM,DEC,11978
1/18/2019 3:00:00 AM,PEC,7316
1/18/2019 3:00:00 PM,DEC,12082
1/18/2019 3:00:00 PM,PEC,8470
1/18/2019 4:00:00 AM,PEC,6962
1/18/2019 4:00:00 AM,DEC,11396
1/18/2019 4:00:00 PM,DEC,11762
1/18/2019 4:00:00 PM,PEC,8485
1/18/2019 5:00:00 AM,DEC,10958
1/18/2019 5:00:00 AM,PEC,6893
1/18/2019 5:00:00 PM,DEC,11388
1/18/2019 5:00:00 PM,PEC,8460
1/18/2019 6:00:00 AM,DEC,11051
1/18/2019 6:00:00 AM,PEC,6942
1/18/2019 6:00:00 PM,DEC,11191
1/18/2019 6:00:00 PM,PEC,8265
1/18/2019 7:00:00 AM,DEC,11000
1/18/2019 7:00:00 AM,PEC,6964
1/18/2019 7:00:00 PM,DEC,10919
1/18/2019 7:00:00 PM,PEC,8064
1/18/2019 8:00:00 AM,PEC,7067
1/18/2019 8:00:00 AM,DEC,10924
1/18/2019 8:00:00 PM,PEC,7432
1/18/2019 8:00:00 PM,DEC,11103
1/18/2019 9:00:00 AM,DEC,11094
1/18/2019 9:00:00 AM,PEC,7216
1/18/2019 9:00:00 PM,DEC,11440
1/18/2019 9:00:00 PM,PEC,7270
1/19/2019 10:00:00 AM,DEC,11527
1/19/2019 10:00:00 AM,PEC,6945
1/19/2019 10:00:00 PM,DEC,11775
1/19/2019 10:00:00 PM,PEC,7151
1/19/2019 11:00:00 AM,PEC,6989
1/19/2019 11:00:00 AM,DEC,11804
1/19/2019 11:00:00 PM,DEC,11811
1/19/2019 11:00:00 PM,PEC,7109
1/19/2019 12:00:00 AM,DEC,12180
1/19/2019 12:00:00 AM,PEC,7793
1/19/2019 12:00:00 PM,DEC,12008
1/19/2019 12:00:00 PM,PEC,7013
1/19/2019 1:00:00 AM,PEC,7810
1/19/2019 1:00:00 AM,DEC,12041
1/19/2019 1:00:00 PM,DEC,12391
1/19/2019 1:00:00 PM,PEC,7243
1/19/2019 2:00:00 AM,DEC,11863
1/19/2019 2:00:00 AM,PEC,7579
1/19/2019 2:00:00 PM,DEC,12646
1/19/2019 2:00:00 PM,PEC,7381
1/19/2019 3:00:00 AM,DEC,11636
1/19/2019 3:00:00 AM,PEC,7374
1/19/2019 3:00:00 PM,DEC,12727
1/19/2019 3:00:00 PM,PEC,7332
1/19/2019 4:00:00 AM,DEC,11421
1/19/2019 4:00:00 AM,PEC,7156
1/19/2019 4:00:00 PM,DEC,12387
1/19/2019 4:00:00 PM,PEC,7328
1/19/2019 5:00:00 AM,PEC,6775
1/19/2019 5:00:00 AM,DEC,11462
1/19/2019 5:00:00 PM,DEC,11955
1/19/2019 5:00:00 PM,PEC,7419
1/19/2019 6:00:00 AM,DEC,11487
1/19/2019 6:00:00 AM,PEC,6701
1/19/2019 6:00:00 PM,DEC,11808
1/19/2019 6:00:00 PM,PEC,7270
1/19/2019 7:00:00 AM,DEC,11427
1/19/2019 7:00:00 AM,PEC,6634
1/19/2019 7:00:00 PM,DEC,11752
1/19/2019 7:00:00 PM,PEC,7123
1/19/2019 8:00:00 AM,DEC,11340
1/19/2019 8:00:00 AM,PEC,6666
1/19/2019 8:00:00 PM,DEC,11709
1/19/2019 8:00:00 PM,PEC,7081
1/19/2019 9:00:00 AM,PEC,6842
1/19/2019 9:00:00 AM,DEC,11221
1/19/2019 9:00:00 PM,DEC,11733
1/19/2019 9:00:00 PM,PEC,6979
1/2/2019 10:00:00 AM,DEC,10079
1/2/2019 10:00:00 AM,PEC,6362
1/2/2019 10:00:00 PM,DEC,10520
1/2/2019 10:00:00 PM,PEC,6993
1/2/2019 11:00:00 AM,PEC,6656
1/2/2019 11:00:00 AM,DEC,10138
1/2/2019 11:00:00 PM,DEC,10595
1/2/2019 11:00:00 PM,PEC,7285
1/2/2019 12:00:00 AM,DEC,10262
1/2/2019 12:00:00 AM,PEC,6346
1/2/2019 12:00:00 PM,DEC,10236
1/2/2019 12:00:00 PM,PEC,6772
1/2/2019 1:00:00 AM,DEC,10284
1/2/2019 1:00:00 AM,PEC,6250
1/2/2019 1:00:00 PM,DEC,10350
1/2/2019 1:00:00 PM,PEC,6965
1/2/2019 2:00:00 AM,PEC,6035
1/2/2019 2:00:00 AM,DEC,10168
1/2/2019 2:00:00 PM,DEC,10203
1/2/2019 2:00:00 PM,PEC,7243
1/2/2019 3:00:00 AM,DEC,9993
1/2/2019 3:00:00 AM,PEC,5867
1/2/2019 3:00:00 PM,DEC,10157
1/2/2019 3:00:00 PM,PEC,7352
1/2/2019 4:00:00 AM,DEC,9904
1/2/2019 4:00:00 AM,PEC,5454
1/2/2019 4:00:00 PM,DEC,10368
1/2/2019 4:00:00 PM,PEC,7113
1/2/2019 5:00:00 AM,DEC,9802
1/2/2019 5:00:00 AM,PEC,5293
1/2/2019 5:00:00 PM,DEC,10354
1/2/2019 5:00:00 PM,PEC,7010
1/2/2019 6:00:00 AM,PEC,5432
1/2/2019 6:00:00 AM,DEC,9862
1/2/2019 6:00:00 PM,DEC,10329
1/2/2019 6:00:00 PM,PEC,7226
1/2/2019 7:00:00 AM,DEC,9800
1/2/2019 7:00:00 AM,PEC,5409
1/2/2019 7:00:00 PM,DEC,10382
1/2/2019 7:00:00 PM,PEC,7077
1/2/2019 8:00:00 AM,PEC,5483
1/2/2019 8:00:00 AM,DEC,9813
1/2/2019 8:00:00 PM,DEC,10440
1/2/2019 8:00:00 PM,PEC,6861
1/2/2019 9:00:00 AM,DEC,9929
1/2/2019 9:00:00 AM,PEC,5763
1/2/2019 9:00:00 PM,DEC,10481
1/2/2019 9:00:00 PM,PEC,6869
1/20/2019 10:00:00 AM,PEC,5899
1/20/2019 10:00:00 AM,DEC,11115
1/20/2019 10:00:00 PM,PEC,7393
1/20/2019 10:00:00 PM,DEC,13276
1/20/2019 11:00:00 AM,DEC,11441
1/20/2019 11:00:00 AM,PEC,6312
1/20/2019 11:00:00 PM,DEC,13985
1/20/2019 11:00:00 PM,PEC,8492
1/20/2019 12:00:00 AM,DEC,11721
1/20/2019 12:00:00 AM,PEC,7021
1/20/2019 12:00:00 PM,DEC,11577
1/20/2019 12:00:00 PM,PEC,6838
1/20/2019 1:00:00 AM,PEC,6817
1/20/2019 1:00:00 AM,DEC,11516
1/20/2019 1:00:00 PM,DEC,11882
1/20/2019 1:00:00 PM,PEC,7170
1/20/2019 2:00:00 AM,DEC,11511
1/20/2019 2:00:00 AM,PEC,6500
1/20/2019 2:00:00 PM,DEC,12023
1/20/2019 2:00:00 PM,PEC,7358
1/20/2019 3:00:00 AM,PEC,6261
1/20/2019 3:00:00 AM,DEC,11457
1/20/2019 3:00:00 PM,DEC,12027
1/20/2019 3:00:00 PM,PEC,7669
1/20/2019 4:00:00 AM,DEC,11446
1/20/2019 4:00:00 AM,PEC,6291
1/20/2019 4:00:00 PM,DEC,11603
